,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,sales_volume
0,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",$194.99,USD,3.9,5650,1,$194.99,False,False,True,4K+ bought in past month
1,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$78.99,USD,3.9,384,1,$78.99,False,False,True,2K+ bought in past month
2,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, Hi-Res Camera, US Version, 2024, Blue Black",$199.99,USD,4.1,285,1,$199.99,False,False,True,2K+ bought in past month
3,Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,$199.99,USD,4.2,1895,1,$199.99,False,False,True,1K+ bought in past month
4,"TracFone Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",$47.67,USD,4,151,1,$47.67,False,False,True,2K+ bought in past month
5,"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked)",$39.99,USD,3.9,25,1,$39.99,False,False,True,300+ bought in past month
6,Alcatel 1 (32GB) 5.0&quot; Full View Display - Removable Battery - Dual SIM GSM Unlocked US &amp; Global 4G LTE International Version - Volcano Black,$35.99,USD,3.5,169,1,$35.99,False,False,True,500+ bought in past month
7,"Total by Verizon Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",$49.88,USD,3.9,140,1,$49.88,False,False,True,500+ bought in past month
8,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",$315.00,USD,4,1895,1,$315.00,False,False,False,2K+ bought in past month
9,"SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version 2024 Cobalt Violet",$999.99,USD,4.4,1404,1,$999.99,False,False,True,500+ bought in past month
10,"SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5&#x27;&#x27; GSM Unlocked,International Version-Black",$89.06,USD,3.7,315,1,$89.06,False,False,True,1K+ bought in past month
11,OnePlus Nord N200 | 5G for T-Mobile U.S Version | 6.49&quot; Full HD+LCD Screen | 90Hz Smooth Display | Large 5000mAh Battery | Fast Charging | 64GB Storage | Triple Camera (Renewed) (T-Mobile),$74.99,USD,3.8,66,1,$74.99,False,False,True,200+ bought in past month
12,BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green,$89.99,USD,3.9,27,1,$89.99,False,False,True,500+ bought in past month
13,Samsung S21 FE 5G 128GB Unlocked Android Smartphone Gray (Renewed),$199.00,USD,4,1324,1,$199.00,False,False,False,1K+ bought in past month
